theme,description,frequency,severity_score,affected_personas,related_keywords,source
Manual Receipt Entry,Finance teams spend hours manually entering receipts into spreadsheets. There is no automated way to capture receipt data from mobile photos or email attachments.,342,8.5,"CFO,Finance Manager,Accountant","receipt,manual,data entry,ocr,automation",survey
Multi-Currency Expense Reporting,Companies with international employees struggle to reconcile expenses across different currencies. Current tools require manual conversion and create accounting errors.,287,7.8,"CFO,Finance Manager,International Employee","multi-currency,forex,reconciliation,international,expense",survey
Real-Time Budget Visibility,Department managers have no real-time view of team spending against budgets. They only discover overruns at month-end reporting.,315,9.1,"Department Manager,CFO,VP Finance","budget,real-time,visibility,spending,dashboard",survey
Vendor Invoice Matching,AP teams manually match vendor invoices to purchase orders. The process is error-prone and creates payment delays.,198,7.2,"AP Manager,Accountant,Controller","invoice,purchase order,matching,ap,vendor",survey
Employee Expense Policy Enforcement,Employees frequently submit out-of-policy expenses. There is no automated way to flag or block non-compliant submissions before approval.,256,8.0,"HR Manager,Finance Manager,CFO","policy,compliance,enforcement,expense,approval",survey
Subscription Spend Management,Companies lack visibility into software subscription spend across departments. Duplicate subscriptions and unused licenses are costing thousands monthly.,189,6.9,"IT Manager,CFO,Finance Manager","subscription,saas,spend,license,visibility",survey
Automated Tax Categorization,Accountants must manually categorize each transaction for tax purposes. This is error-prone and creates risk during audits.,145,7.5,"Accountant,Controller,CFO","tax,categorization,audit,compliance,automation",survey
Expense Approval Bottlenecks,Approval workflows are slow because approvers are not notified promptly. Employees wait days for reimbursement creating friction.,223,6.5,"Employee,Finance Manager,HR","approval,workflow,notification,reimbursement,bottleneck",survey
Corporate Card Reconciliation,Reconciling corporate card transactions with expense reports is a manual monthly process that takes 2-3 days.,178,7.0,"Controller,Accountant,Finance Manager","corporate card,reconciliation,expense report,manual",survey
Project Cost Allocation,Project managers cannot easily allocate expenses to specific projects or client billing codes. Cost tracking is inaccurate.,167,7.3,"Project Manager,Controller,CFO","project,cost allocation,billing,tracking,client",survey
